"λ_H","λ_E","θ","p_H","p_E","tr_chains_d1","tr_chains_d10","tr_chains_d50","tr_chains_d100"
2.0,1.0,0.6666666666666666,0.01,0.1,56.140447438210245,46.76324694701221,25.798514805940776,13.859040563837745
2.0,1.0,0.6666666666666666,0.01,0.2,54.75991896032416,46.065533737865046,25.825998696005215,13.916710333158667
2.0,1.0,0.6666666666666666,0.01,0.3,54.50890796436814,46.11826752692989,25.846944612221552,14.112385550457798
2.0,1.0,0.6666666666666666,0.01,0.4,54.13880544477822,46.61292354830581,25.923612305550776,13.956456174175303
2.0,1.0,0.6666666666666666,0.01,0.5,54.245275018899925,46.43964424142303,25.837322650709396,14.063651745393019
2.0,1.0,0.6666666666666666,0.01,0.6,53.87193451226195,46.38854444582222,25.82074271702913,14.022413910344358
2.0,1.0,0.6666666666666666,0.01,0.7,54.22671109315563,46.44625021499914,25.991668033327866,13.893292426830293
2.0,1.0,0.6666666666666666,0.01,0.8,54.21096315614737,46.3562005751977,25.718271126915493,14.217807128771485
2.0,1.0,0.6666666666666666,0.01,0.9,54.17287530849877,46.28088887644449,25.918698325206698,13.973862104551582
2.0,1.0,0.6666666666666666,0.01,1.0,54.244787020851916,46.500227999088004,25.972122111511553,14.11503553985784
