"λ_H","λ_E","θ","p_H","p_E","tr_chains_d1","tr_chains_d10","tr_chains_d50","tr_chains_d100"
2.0,0.5,0.8,0.02,0.5,38.340766369345225,26.520779168833247,8.746510139594417,2.9487620495180193
2.0,1.0,0.6666666666666666,0.02,0.5,27.15459381624735,19.720211191552337,7.010379584816607,2.1346946122155113
2.0,1.5,0.5714285714285714,0.02,0.5,20.69261229550818,15.994920203191873,5.9903203871845125,1.9960601575936963
2.0,2.0,0.5,0.02,0.5,16.908263669453223,13.030358785648573,5.0511779528818845,1.6135754569817207
2.0,2.5,0.4444444444444444,0.02,0.5,14.148634054637814,11.033158673653054,4.396604135834567,1.5177392904283828
2.0,3.0,0.4,0.02,0.5,12.514979400823966,9.60435582576697,4.060857565697372,1.3693852245910163
2.0,3.5,0.36363636363636365,0.02,0.5,10.866385344586217,8.980260789568417,3.543538258469661,1.3168673253069878
2.0,4.0,0.3333333333333333,0.02,0.5,9.889524419023239,7.9411623535058595,3.262609495620175,1.1027758889644415
2.0,4.5,0.3076923076923077,0.02,0.5,8.99980000799968,7.191532338706452,2.933322667093316,1.0659373625054998
2.0,5.0,0.2857142857142857,0.02,0.5,8.316967321307148,6.643754249830007,2.6674733010679574,1.0361585536578537
2.0,5.5,0.26666666666666666,0.02,0.5,7.411603535858566,6.052337906483741,2.6177352905883766,0.8933042678292868
2.0,6.0,0.25,0.02,0.5,7.37332506699732,5.954621815127395,2.2880284788608454,0.8173673053077877
2.0,6.5,0.23529411764705882,0.02,0.5,6.460201591936323,5.202751889924403,2.268229270829167,0.7524299028038879
2.0,7.0,0.2222222222222222,0.02,0.5,6.210911563537459,5.078396864125435,1.9807207711691532,0.7297708091676333
2.0,7.5,0.21052631578947367,0.02,0.5,5.8744450221991125,4.677212911483541,1.9582216711331546,0.6575736970521179
2.0,8.0,0.2,0.02,0.5,5.514899404023839,4.313847446102156,1.8819247230110796,0.6506339746410144
2.0,8.5,0.19047619047619047,0.02,0.5,5.15969361225551,4.110895564177433,1.7172713091476342,0.6178552857885684
2.0,9.0,0.18181818181818182,0.02,0.5,4.891004359825607,4.198472061117555,1.763649454021839,0.7263109475620975
2.0,9.5,0.17391304347826086,0.02,0.5,4.716391344346226,3.9170233190672374,1.5846966121355146,0.5488580456781729
