"λ_H","λ_E","w_H","wait","wait1","improvement","v"
0.02,0.02,103.67735258837631,-13.54016040642577,-9521.05275536844,true,"0.0"
0.12163265306122449,0.02,130.03799208118795,12.820479086385873,-10584.28486937825,false,"0.08081632653061224"
0.223265306122449,0.02,132.88611815867583,15.66860516387375,-6549.463464860032,false,"0.1416326530612245"
0.3248979591836735,0.02,136.58864242349892,19.371129428696847,-4610.250360668731,false,"0.20244897959183675"
0.42653061224489797,0.02,173.3937269155286,56.17621392072651,-3465.525289210078,false,"0.20244897959183675"
0.5281632653061225,0.02,169.869391986795,52.651878991992916,-2881.5615657692097,false,"0.3240816326530612"
0.6297959183673469,0.02,175.96662311784527,58.749110123043195,-2393.727780391004,false,"0.20244897959183675"
0.7314285714285714,0.02,199.04081271781726,81.82329972301518,-2066.269157044278,false,"0.3240816326530612"
0.8330612244897959,0.02,192.52321338220452,75.30570038740244,-1778.4426383956552,false,"0.3848979591836735"
0.9346938775510204,0.02,229.16816817576773,111.95065518096565,-1495.312642120202,false,"0.44571428571428573"
1.036326530612245,0.02,243.07614697155816,125.85863397675608,-1373.4378145962373,false,"0.5065306122448979"
1.1379591836734695,0.02,242.6076839214676,125.39017092666553,-1228.2788825423338,false,"0.5065306122448979"
1.2395918367346939,0.02,244.54283167360006,127.32531867879798,-1098.5376904803961,false,"0.6281632653061224"
1.3412244897959185,0.02,270.1194347923313,152.9019217975292,-977.669422884318,false,"0.6281632653061224"
1.4428571428571428,0.02,265.8284990097529,148.6109860149508,-895.1371345388084,false,"0.6889795918367347"
1.5444897959183674,0.02,281.2792239536654,164.06171095886333,-811.2800314139547,false,"0.6889795918367347"
1.6461224489795918,0.02,268.2545800128199,151.0370670180178,-747.8213303123634,false,"0.6889795918367347"
1.7477551020408164,0.02,264.2107387585667,146.99322576376466,-669.1238582760432,false,"0.8106122448979591"
1.8493877551020408,0.02,279.6417144358415,162.42420144103943,-647.2241315894648,false,"0.8714285714285714"
1.9510204081632654,0.02,256.6119471989905,139.39443420418843,-595.3081801475604,false,"0.9322448979591836"
2.0526530612244898,0.02,254.01597082787418,136.79845783307212,-568.2241448578061,false,"0.9322448979591836"
2.1542857142857144,0.02,269.1739608504424,151.95644785564036,-513.2664316928057,false,"1.0538775510204081"
2.255918367346939,0.02,253.0211082171115,135.8035952223094,-486.31063149518184,false,"1.1146938775510205"
2.357551020408163,0.02,276.22449196834765,159.00697897354559,-425.779740964518,false,"0.993061224489796"
2.4591836734693877,0.02,256.0969665231255,138.87945352832344,-418.02432935686284,false,"1.0538775510204081"
2.5608163265306123,0.02,266.87989178468905,149.662378789887,-406.51593318146723,false,"1.1146938775510205"
2.662448979591837,0.02,253.21598987731335,135.99847688251128,-375.56930115727545,false,"1.2971428571428572"
2.764081632653061,0.02,247.1756818851293,129.95816889032722,-353.89869049232277,false,"1.2363265306122448"
2.8657142857142857,0.02,262.90961811875394,145.69210512395188,-341.0979912004296,false,"1.2971428571428572"
2.9673469387755103,0.02,247.89226284794725,130.67474985314516,-298.5434077256391,false,"1.2971428571428572"
3.068979591836735,0.02,243.31662459903183,126.09911160422975,-288.76420977821635,false,"1.4187755102040815"
3.170612244897959,0.02,258.58875083750013,141.37123784269806,-292.8640562991716,false,"1.4187755102040815"
3.2722448979591836,0.02,241.88413103278793,124.66661803798586,-255.3367186839551,false,"1.4187755102040815"
3.373877551020408,0.02,232.07900863544094,114.86149564063886,-259.54705083672945,false,"1.4795918367346939"
3.475510204081633,0.02,250.7993428255692,133.5818298307671,-236.24963793444633,false,"1.4187755102040815"
3.577142857142857,0.02,241.92058507433484,124.70307207953276,-212.46267759503837,false,"1.4795918367346939"
3.6787755102040816,0.02,226.57021462548198,109.3527016306799,-243.06804346305006,false,"1.4795918367346939"
3.780408163265306,0.02,223.50087970276368,106.2833667079616,-218.62371723021866,false,"1.6012244897959185"
3.8820408163265308,0.02,224.10102926474252,106.88351626994044,-205.26953772242535,false,"1.6012244897959185"
3.983673469387755,0.02,226.52231163226762,109.30479863746554,-180.78290152836976,false,"1.6620408163265306"
4.08530612244898,0.02,225.13288769089846,107.91537469609638,-192.81146618909005,false,"1.5404081632653062"
4.186938775510204,0.02,223.2197678058144,106.00225481101232,-180.76440962869043,false,"1.6012244897959185"
4.288571428571428,0.02,219.70742767182696,102.48991467702488,-172.27717755337153,false,"1.6620408163265306"
4.390204081632653,0.02,205.00411072887218,87.7865977340701,-168.12859974216414,false,"1.7228571428571429"
4.4918367346938775,0.02,211.0164065180319,93.79889352322984,-165.32688260884342,false,"1.6012244897959185"
4.593469387755102,0.02,208.851115128963,91.63360213416091,-157.38254068896566,false,"1.7228571428571429"
4.695102040816327,0.02,220.35812636888915,103.14061337408707,-156.17896113462973,false,"1.6012244897959185"
4.796734693877551,0.02,199.08104354371483,81.86353054891275,-149.1373137695888,false,"1.7836734693877552"
4.898367346938776,0.02,199.47116025916804,82.25364726436597,-145.63481035150434,false,"1.7836734693877552"
5.0,0.02,202.52499000399843,85.30747700919635,-142.52195121951212,false,"2.026938775510204"
0.02,0.08081632653061224,106.78356108536971,-10.433951909432366,-1217.1268747403,true,"0.0"
0.12163265306122449,0.08081632653061224,117.6720432642081,0.45453026940602115,-3388.3521242499933,false,"0.08081632653061224"
0.223265306122449,0.08081632653061224,121.37335256087756,4.155839566075485,-4330.238324523317,false,"0.1416326530612245"
0.3248979591836735,0.08081632653061224,124.17272770497473,6.955214710172655,-3337.585282658717,false,"0.20244897959183675"
0.42653061224489797,0.08081632653061224,135.37596120350142,18.15844820869934,-2786.404264505258,false,"0.20244897959183675"
0.5281632653061225,0.08081632653061224,133.61551746822636,16.39800447342428,-2362.945394488472,false,"0.3240816326530612"
0.6297959183673469,0.08081632653061224,146.01558825505612,28.798075260254038,-2046.4503158564044,false,"0.20244897959183675"
0.7314285714285714,0.08081632653061224,190.00795721315436,72.79044421835228,-1736.2012466053181,false,"0.3240816326530612"
0.8330612244897959,0.08081632653061224,200.37709253862474,83.15957954382266,-1555.3571840594084,false,"0.3848979591836735"
0.9346938775510204,0.08081632653061224,200.71303124319897,83.49551824839689,-1411.5902395882088,false,"0.44571428571428573"
1.036326530612245,0.08081632653061224,192.13043585933045,74.91292286452837,-1259.4567118731482,false,"0.5065306122448979"
1.1379591836734695,0.08081632653061224,234.1390667864202,116.92155379161811,-1046.7723849886804,false,"0.5065306122448979"
1.2395918367346939,0.08081632653061224,226.35696951399862,109.13945651919654,-1003.721219822713,false,"0.6281632653061224"
